Link id	Type	FFtime	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700
158	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
159	1001	0.0	-0.1	6.0	6.0	-0.1	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
160	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
161	1001	0.0	-0.1	-0.1	6.0	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
162	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
163	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
164	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
165	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
166	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
167	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
168	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
169	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
